regional,municipio,localizacao,escola_indigena,codigo_escola,nome_escola,ponto_bonus_professor,etapa_ensino
CASTANHAL,Santa Maria do Pará,Rural,False,15062791,ESCOLA ESTADUAL INDIGENA CACICA MARIA CASSIANO TEMBE,0.5,ENSINO MEDIO
CONCEICAO DO ARAGUAIA,Santana do Araguaia,Urbana,False,15168840,ANEXO EE JORCELI SILVA SESTARI - SERINGAL I,0.5,ENSINO MEDIO
MARABA,São Domingos do Araguaia,Rural,False,15177840,ESCOLA ESTADUAL RURAL DE SAO DOMINGOS DO ARAGUAIA,0.5,ENSINO MEDIO
XINGUARA,São Félix do Xingu,Rural,True,15170160,ANEXO EE CARMINA GOMES - KOKRAYMOR,0.5,ENSINO MEDIO
XINGUARA,São Félix do Xingu,Rural,False,15178102,ESCOLA ESTADUAL RURAL DE SAO FELIX DO XINGU,0.5,ENSINO MEDIO
MARABA,São Geraldo do Araguaia,Rural,False,15177866,ESCOLA ESTADUAL RURAL DE SAO GERALDO DO ARAGUAIA,0.5,ENSINO MEDIO
TUCURUI,Tucuruí,Rural,False,15177580,ESCOLA ESTADUAL RURAL DE TUCURUI,0.5,ENSINO MEDIO
SANTA IZABEL DO PARA,Vigia,Urbana,False,15054420,ESCOLA ESTADUAL BERTOLDO NUNES,0.5,ENSINO MEDIO
,Benevides,Rural,False,15043746,EEEF DA TERCEIRA TRAVESSA,0.5,ENSINO MEDIO
,Abaetetuba,Urbana,False,15065006,ESCOLA ESTADUAL PROF LEONIDAS MONTE,0.0,ENSINO MEDIO
,Abaetetuba,Rural,False,15169987,ANEXO EE PROF BASILIO DE CARVALHO - RIO ARUMANDUBA,0.5,ENSINO MEDIO
,Almeirim,Rural,False,15177793,ESCOLA ESTADUAL RURAL DE ALMEIRIM,0.0,ENSINO MEDIO
,Ananindeua,Urbana,False,15167054,ESCOLA ESTADUAL PROF ANTONIO CARLOS GOMES DA COSTA,0.0,ENSINO MEDIO
,Belém,Urbana,False,15034151,ESCOLA ESTADUAL JARDIM SIDERAL,0.5,ENSINO MEDIO
,Belém,Urbana,False,15035220,ESCOLA ESTADUAL PE ORIONE,0.5,ENSINO MEDIO
,Belém,Urbana,False,15039595,ESCOLA ESTADUAL BARAO DO RIO BRANCO,0.0,ENSINO MEDIO
,Belém,Urbana,False,15039773,ESCOLA ESTADUAL SANTOS DUMONT,0.5,ENSINO MEDIO
,Belém,Urbana,False,15042480,ESCOLA ESTADUAL ALMIRANTE JOAO FARIA DE LIMA,0.5,ENSINO MEDIO
,Belém,Urbana,False,15042766,ESCOLA ESTADUAL COLONIA DO FIDELIS,0.5,ENSINO MEDIO
,Belém,Urbana,False,15042782,ESCOLA ESTADUAL DO OUTEIRO,0.0,ENSINO MEDIO
,Benevides,Urbana,False,15043657,ESCOLA ESTADUAL CENECISTA FRANCOIS PAUL BEGOT,0.5,ENSINO MEDIO
,Benevides,Urbana,False,15043738,ESCOLA ESTADUAL PROF DEUSARINA NASCIMENTO SOUZA,0.5,ENSINO MEDIO
,Benevides,Urbana,False,15044009,ESCOLA ESTADUAL DE MURININ,0.5,ENSINO MEDIO
,Cachoeira do Arari,Urbana,False,15028488,ESCOLA ESTADUAL JOSE RODRIGUES VIANA,0.5,ENSINO MEDIO
,Inhangapi,Rural,False,15177386,ESCOLA ESTADUAL RURAL DE INHANGAPI,0.0,ENSINO MEDIO
